,Word,Tag
2438,Uruzgan,geo
2441,Afghan,gpe
2451,U.S.,gpe
2465,U.S.,gpe
2469,Paktika,geo
2477,British,gpe
2487,Saturday,tim
2496,Mazar-e-Sharif,geo
2508,Taleban,org
2517,Afghanistan,geo
2536,Russian,gpe
2577,Moscow,geo
2590,Russia,geo
2592,Itar-Tass,org
2616,Russia,geo
2619,Baltic,geo
2620,states,geo
2622,Lithuania,geo
2624,Latvia,geo
2626,Estonia,geo
2666,Moscow,geo
2671,Vietnam,geo
2685,Vietnamese,gpe
2709,Vietnam,geo
2712,Ninh,gpe
2713,Binh,gpe
2717,Thursday,tim
2723,H5N1,nat
2754,Vietnam,geo
2765,World,org
2766,Health,org
2767,Organization,org
2780,2003,tim
2794,Indonesia,geo
2798,Somalia,geo
2816,Mogadishu,geo
2824,Ethiopian,gpe
2833,Wednesday,tim
2837,Ethiopian,gpe
2850,Defense,org
2851,Ministry,org
2854,Mogadishu,geo
2859,Ethiopian,gpe
2874,Ethiopia,gpe
2878,Somalia,geo
2880,December,tim
2893,Somalia,gpe
2913,Islamist,org
2917,African,org
2918,Union,org
2923,Somalia,geo
2927,Ethiopian,gpe
2931,Addis,gpe
2932,Ababa,gpe
2938,Palestinian,gpe
2940,Ahmed,per
2941,Qureia,per
2943,Israeli,gpe
2945,Palestinian,gpe
2966,Qureia,per
3002,Israeli,gpe
3003,Prime,per
3004,Minister,per
3005,Ehud,per
3006,Olmert,per
3008,Palestinian,gpe
3009,President,per
3010,Mahmoud,per
3011,Abbas,per
3017,November,tim
3037,U.S.,gpe
3038,President,per
3039,George,per
3040,Bush,per
3048,Qureia,per
3050,Wednesday,tim
3057,Israel,geo
3059,Mr.,per
3060,Bush,per
3075,West,geo
3076,Bank,geo
3089,Israeli,gpe
3092,Major,per
3093,General,per
3094,Udi,per
3095,Adam,per
3103,Northern,org
3104,Command,org
3114,Wednesday,tim
3117,General,per
3118,Adam,per
3149,Adam,per
3170,Hezbollah,org
3173,Lebanon,geo
3187,Lebanon,geo
3190,Israeli,gpe
3193,Adam,per
3202,Lieutenant,per
3203,General,per
3204,Dan,per
3205,Halutz,per
3219,Pakistan,gpe
3240,Institute,org
3241,for,org
3242,Science,org
3243,and,org
3244,International,org
3245,Security,org
3266,Khushab,geo
3269,Punjab,geo
3303,Pakistan,gpe
3317,Pakistan,geo
3319,Foreign,org
3320,Ministry,org
3322,Tasnim,per
3323,Aslam,per
3348,Khushab,geo
3354,American,org
3355,Diabetes,org
3356,Association,org
3417,VOA,org
3419,June,per
3420,Soh,per
3444,Amy,per
3445,Katz,per
3448,Cuba,gpe
3450,Panama,gpe
3461,Havana,gpe
3465,Panama,gpe
3466,City,gpe
3479,Cuban,gpe
3480,President,per
3481,Fidel,per
3482,Castro,per
3495,Friday,tim
3497,Panamanian,gpe
3498,President,per
3499,Martin,per
3500,Torrijos,per
3502,Cuban,gpe
3503,Vice,per
3504,President,per
3505,Carlos,per
3506,Lage,per
3520,San,geo
3521,Jose,geo
3523,Costa,geo
3524,Rica,geo
3539,Organization,org
3540,of,org
3541,American,org
3542,States,org
3548,Cuba,gpe
3552,Panama,gpe
3554,August,tim
3558,Panamanian,gpe
3559,President,per
3560,Mireya,per
3561,Moscoso,per
3578,Cuba,geo
3587,Mr.,per
3588,Castro,per
3591,2000,tim
3595,Panama,geo
3596,City,geo
3599,Israeli,gpe
3604,Palestinian,gpe
3609,Gaza,geo
3610,Strip,geo
3640,Israel,geo
3643,Palestinian,gpe
3648,Israeli,gpe
3655,Israeli,gpe
3661,Gaza,geo
3666,Israeli,gpe
3669,June,tim
3674,Palestinians,gpe
3683,Sunday,tim
3685,Palestinian,gpe
3686,Prime,per
3687,Minister,per
3688,Ismail,per
3689,Haniyeh,per
3697,Israel,gpe
3702,Arab,gpe
3713,Palestinians,gpe
3716,Israel,gpe
3721,Israeli,gpe
3724,Palestinian,gpe
3737,Hamas,org
3741,Fatah,org
3744,President,per
3745,Mahmoud,per
3746,Abbas,per
3748,U.S.,geo
3750,Chrysler,org
3761,Mexico,geo
3769,Saltillo,art
3771,Friday,tim
3773,Mexican,gpe
3774,President,per
3775,Felipe,per
3776,Calderon,per
3778,Chrysler,org
3783,Mexico,geo
3789,Mr.,per
3790,Calderon,per
3792,Mexico,gpe
3803,Chrysler,org
3810,Pentastar,art
3811,V-6,art
3814,Chrysler,art
3816,Dodge,art
3818,Jeep,art
3820,Ram,art
3823,Mexican,gpe
3841,U.S.,geo
3848,Merck,org
3863,Vioxx,art
3866,New,geo
3867,Jersey,geo
3871,Merck,org
3896,Vioxx,org
3909,Merck,org
3921,Merck,org
3943,Merck,org
3951,Vioxx,art
3953,Thursday,tim
3962,Vioxx,art
3969,Merck,org
3982,Vioxx,art
3985,Merck,org
3996,Nicole,per
3997,Ritchie,per
4003,ABC,org
4004,News,org
4006,Dianne,per
4007,Sawyer,per
4015,The,art
4016,Simple,art
4017,Life,art
4037,Joel,per
4038,Madden,per
4043,Good,org
4044,Charlotte,org
4046,Ritchie,per
4136,August,tim
4137,2,tim
4139,3,tim
4141,Good,art
4142,Morning,art
4143,America,art
4147,August,tim
4148,3,tim
4150,20/20,art
4152,U.S.,gpe
4153,Senator,per
4154,John,per
4155,Warner,per
4161,Virginia,geo
4174,Iraq,geo
4185,2009,tim
4187,Warner,per
4193,University,org
4194,of,org
4195,Virginia,org
4196,Friday,tim
4207,2008,tim
4216,Senate,org
4217,Armed,org
4218,Services,org
4219,Committee,org
4223,President,per
4224,Bush,per
4231,Iraq,geo
4236,Mr.,per
4237,Bush,per
4245,U.S.,gpe
4248,Iraq,geo
4269,Senate,org
4291,Senate,org
4301,Navy,org
4310,U.S.,gpe
4314,United,org
4315,Nations,org
4317,December,tim
4319,Indian,geo
4320,Ocean,geo
4341,U.N.,org
4343,Food,org
4344,and,org
4345,Agricultural,org
4346,Organization,org
4348,FAO,org
4384,FAO,org
4393,Indonesia,geo
4395,Maldives,geo
4397,Somalia,geo
4399,Sri,geo
4400,Lanka,geo
4402,Thailand,geo
4434,Indonesia,geo
4460,2003,tim
4473,Bekasi,geo
4480,Jakarta,geo
4486,Tuesday,tim
4488,Monday,tim
4502,Jakarta,geo
4517,Tangerang,geo
4554,H5N1,nat
4584,Thailand,gpe
4595,Islamic,org
4601,Thailand,geo
4609,Malaysia,geo
4611,Thai,gpe
4612,Deputy,per
4613,Interior,per
4614,Minister,per
4615,Sutham,per
4616,Saengprathum,per
4625,Malaysia,geo
4628,Kelantan,geo
4634,Thailand,geo
4639,Malaysia,gpe
4646,Bangkok,gpe
4651,Thai,gpe
4652,Prime,per
4653,Minister,per
4654,Thaksin,per
4655,Shinawatra,per
4668,Malaysia,geo
4670,Indonesia,geo
4673,Thailand,geo
4675,Malaysia,gpe
4677,Indonesia,gpe
4682,Bangkok,gpe
4705,Muslims,org
4707,Indonesia,geo
4709,Malaysia,geo
4716,Chinese,gpe
4719,Shanghai,geo
4722,Saturday,tim
4728,Japanese,gpe
4745,Shanghai,geo
4756,Japan,gpe
4765,U.N.,org
4766,Security,org
4767,Council,org
4769,Tokyo,gpe
4778,Beijing,geo
4794,State,per
4795,Councilor,per
4796,Tang,per
4797,Jiaxuan,per
4801,Xinhua,org
4805,China,gpe
4820,Japan,geo
4822,Foreign,per
4823,Minister,per
4825,Nobutaka,per
4826,Machimura,per
4829,Sunday,tim
4831,Beijing,geo
4836,Chinese,gpe
4839,Li,per
4840,Zhaoxing,per
4853,2012,eve
4854,Summer,eve
4855,Olympics,eve
4857,London,geo
4887,Games,eve
4910,Olympic,org
4911,Delivery,org
4912,Authority,org
4930,Prime,per
4931,Minister,per
4932,Tony,per
4933,Blair,per
4935,London,gpe
4953,British,gpe
4973,London,gpe
4978,July,tim
4979,of,tim
4980,2005,tim
4987,Wednesday,tim
5001,Games,eve
5003,China,geo
5030,China,geo
5035,2008,eve
5036,Olympic,eve
5044,Jing,nat
5045,Jing,nat
5064,China,gpe
5069,Sam,per
5070,Beattie,per
5073,Jing,nat
5074,Jing,nat
5078,Sichuan,geo
5081,British,gpe
5086,British,gpe
5097,NATO,org
5101,Afghanistan,geo
5104,NATO,org
5120,Kandahar,geo
5121,Saturday,tim
5130,NATO,org
5154,NATO,org
5161,Taleban,org
5165,Kandahar,geo
5170,Operation,eve
5171,Medusa,eve
5178,Taleban,org
5194,Sri,geo
5195,Lankan,gpe
5200,Tamil,org
5206,Friday,tim
5208,Colombo,geo
5224,Dharmeratnam,per
5225,Sivaram,per
5233,TamilNet,org
5234,Web,art
5240,Sri,gpe
5241,Lanka,gpe
5243,english,art
5247,Daily,art
5248,Mirror,art
5250,Mr.,per
5251,Sivaram,per
5253,Web,art
5262,Sri,org
5263,Lankan,geo
5273,Tamil,org
5274,Tiger,org
5278,Mr.,per
5279,Sivaram,per
5287,2001,tim
5310,Japan,gpe
5312,North,gpe
5313,Korea,gpe
5331,Japanese,gpe
5334,Monday,tim
5347,Beijing,geo
5350,November,tim
5360,North,gpe
5361,Korea,gpe
5367,Japan,gpe
5369,North,gpe
5370,Korea,gpe
5382,Tokyo,gpe
5384,Pyongyang,gpe
5389,North,gpe
5390,Korea,gpe
5397,North,gpe
5401,Japanese,gpe
5405,1970s,tim
5407,1980s,tim
5418,Iraq,geo
5434,Iraqi,gpe
5436,Saddam,per
5437,Hussein,per
5439,Human,org
5440,Rights,org
5441,Watch,org
5447,Thursday,tim
5460,Iraqi,gpe
5468,2003,tim
5471,Iraq,geo
5494,Associated,org
5495,Press,org
5498,U.S.,gpe
5499,Defense,org
5500,Department,org
5511,Saddam,per
5512,Hussein,per
5516,July,tim
5519,U.S.,gpe
5526,Baghdad,geo
5541,Egypt,gpe
5546,World,org
5547,Health,org
5548,Organization,org
5551,Egyptian,gpe
5574,WHO,org
5602,Egyptians,gpe
5606,H5N1,nat
5618,Egypt,geo
5631,Asia,geo
5637,U.N.,org
5641,Iraq,gpe
5645,Saddam,per
5646,Hussein,per
5659,U.N.,org
5663,U.S.,gpe
5664,Federal,org
5665,Reserve,org
5666,Chairman,per
5667,Paul,per
5668,Volcker,per
5686,United,org
5687,Nations,org
5688,Security,org
5689,Council,org
5696,U.S.,gpe
5697,government-funded,org
5698,alHurra,art
5702,Mr.,per
5703,Volcker,per
5715,Saddam,per
5754,United,org
5755,Nations,org
5763,Gulf,eve
5764,War,eve
5767,Iraq,gpe
5777,Iraqi,gpe
5783,Kyrgyzstan,gpe
5785,Justice,org
5786,Ministry,org
5794,Tynychbek,per
5795,Akmatbayev,per
5804,Bishkek,geo
5811,Interior,per
5812,Minister,per
5813,Murat,per
5814,Sutalinov,per
5844,Mr.,per
5845,Akmatbayev,per
5851,Wednesday,tim
5854,Kyrgyz,gpe
5877,Bishkek,geo
5885,Thursday,tim
5893,Western,geo
5894,Europe,geo
5898,Iraq,geo
5913,France,gpe
5915,Aigle,org
5916,Azur,org
5922,Charles,art
5923,De,art
5924,Gaulle,art
5927,Paris,geo
5929,Saturday,tim
5934,Baghdad,art
5935,International,art
5936,Airport,art
5938,Sunday,tim
5956,French,gpe
5967,French,gpe
5968,Foreign,per
5969,Trade,per
5970,Minister,per
5971,Anne-Marie,per
5972,Idrac,per
5982,France,gpe
5984,Iraq,gpe
5989,Paris,geo
5991,Baghdad,geo
6003,Aigle,org
6004,Azur,org
6017,Baghdad,geo
6019,Etihad,org
6021,Emirates,org
6022,airlines,org
6029,United,geo
6030,Arab,geo
6031,Emirates,geo
6036,Baghdad,geo
6046,U.S.,gpe
6055,January,tim
6058,Labor,org
6059,Department,org
6060,Friday,tim
6068,U.S.,gpe
6089,American,gpe
6100,January,tim
6113,Department,org
6114,of,org
6115,Labor,org
6138,U.S.,gpe
6155,Venezuelan,gpe
6156,President,per
6157,Hugo,per
6158,Chavez,per
6161,Colombia,gpe
6175,United,gpe
6176,States,gpe
6178,Mr.,per
6179,Chavez,per
6182,Sunday,tim
6193,Mr.,per
6194,Chavez,per
6196,Colombian,gpe
6197,President,per
6198,Alvaro,per
6199,Uribe,per
6205,Friday,tim
6219,Colombian,gpe
6220,Defense,per
6221,Minister,per
6222,Juan,per
6223,Manuel,per
6224,Santos,per
6228,Venezuela,gpe
6243,Sunday,tim
6245,Mr.,per
6246,Chavez,per
6249,President,per
6250,Uribe,per
6267,March,tim
6269,Colombia,gpe
6275,Ecuador,geo
6277,Venezuela,gpe
6284,Colombian,gpe
6287,China,gpe
6293,U.S.,gpe
6297,Chinese,gpe
6308,U.S.,gpe
6310,China,gpe
6318,Wednesday,tim
6321,U.S.,org
6322,Commission,org
6323,on,org
6324,International,org
6325,Religious,org
6326,Freedom,org
6328,China,gpe
6354,Saturday,tim
6355,Chinese,gpe
6356,Foreign,org
6357,Ministry,org
6359,Liu,per
6360,Jianchao,per
6363,U.S.,gpe
6370,Chinese,gpe
6391,U.S,gpe
6393,China,gpe
6396,Liu,per
6398,China,gpe
6404,Chinese,gpe
6419,China,gpe
6447,President,per
6448,Bush,per
6471,Monday,tim
6508,Monday,tim
6512,Mr.,per
6513,Bush,per
6523,U.S.,gpe
6557,White,org
6558,House,org
6579,Uganda,gpe
6586,Lord,org
6587,'s,org
6588,Resistance,org
6589,Army,org
6613,Friday,tim
6622,LRA,org
6633,Saturday,tim
6638,Sudan,geo
6657,Joseph,per
6658,Kony,per
6666,Kony,per
6671,LRA,org
6676,International,org
6677,Criminal,org
6678,Court,org
6684,LRA,org
6704,Uganda,geo
6713,Roger,per
6714,Federer,per
6729,Australian,eve
6730,Open,eve
6740,Swiss,gpe
6744,Wednesday,tim
6746,German,gpe
6747,Tommy,per
6748,Haas,per
6755,Kooyong,eve
6756,Classic,eve
6758,Melbourne,geo
6775,Association,art
6776,of,art
6777,Tennis,art
6778,Professionals,art
6779,Tour,art
6785,Haas,per
6809,Federer,per
6833,Australian,eve
6834,Open,eve
6838,Monday,tim
6841,European,org
6842,Space,org
6843,Agency,org
6858,Saturn,geo
6861,Titan,geo
6868,Germany,geo
6869,Friday,tim
6875,Huygens,art
6913,Cassini,art
6918,Saturn,geo
6923,Friday,tim
6930,Huygens,art
6936,American,gpe
6938,European,geo
6940,Italian,gpe
6950,Earth,geo
6957,Ugandan,gpe
6960,Kizza,per
6961,Besigye,per
6988,Dr.,per
6989,Besigye,per
6998,Kampala,geo
7002,Monday,tim
7004,Uganda,gpe
7009,Dr.,per
7010,Besigye,per
7012,November,tim
7023,President,per
7024,Yoweri,per
7025,Museveni,per
7038,Dr.,per
7039,Besigye,per
7049,Ugandan,gpe
7050,High,org
7051,Court,org
7054,John,per
7055,Bosco,per
7056,Katutsi,per
7065,High,org
7066,Court,org
7073,Dr.,per
7074,Besigye,per
7086,Monday,tim
7109,U.S.,gpe
7110,President,per
7111,Barack,per
7112,Obama,per
7117,American,gpe
7124,Mr.,per
7125,Obama,per
7131,White,art
7132,House,art
7133,Rose,art
7134,Garden,art
7135,Monday,tim
7140,African-American,gpe
7143,Regina,per
7144,Benjamin,per
7149,U.S.,gpe
7150,Surgeon,per
7151,General,per
7184,Mr.,per
7185,Obama,per
7199,Democrats,org
7202,House,org
7203,of,org
7204,Representatives,org
7225,Americans,gpe
7246,World,org
7247,Bank,org
7252,Washington,geo
7261,African,gpe
7263,Latin,gpe
7264,American,gpe
7276,World,org
7277,Bank,org
7278,President,per
7279,Paul,per
7280,Wolfowitz,per
7301,July,tim
7306,July,tim
7312,G-8,org
7331,Africa,geo
7339,World,org
7340,Bank,org
7344,Benin,gpe
7346,Bolivia,gpe
7348,Burkina,gpe
7349,Faso,gpe
7351,Ethiopia,gpe
7353,Ghana,gpe
7355,Guyana,gpe
7357,Honduras,gpe
7359,Madagascar,gpe
7361,Mali,gpe
7363,Mozambique,gpe
7365,Nicaragua,gpe
7367,Niger,gpe
7369,Rwanda,gpe
7371,Senegal,gpe
7373,Tanzania,gpe
7375,Uganda,gpe
7377,Zambia,gpe
7379,Iran,gpe
7387,Tehran,geo
7405,Tuesday,tim
7407,Wednesday,tim
7413,Iranian,gpe
7438,Iran,gpe
7440,Press,org
7441,TV,org
7443,Tehran,geo
7445,Air,org
7446,Quality,org
7447,Control,org
7448,Company,org
7471,Saudi,geo
7472,Arabia,geo
7475,Iraq,geo
7486,Baghdad,geo
7514,midnight,tim
7526,Israelis,gpe
7535,Tel,geo
7536,Aviv,geo
7538,Israeli,gpe
7577,Palestinian,gpe
7593,Palestinian,gpe
7594,President,per
7595,Mahmoud,per
7596,Abbas,per
7598,Ramallah,geo
7626,Mr.,per
7627,Abbas,per
7635,Israeli,gpe
7636,Prime,per
7637,Minister,per
7638,Ariel,per
7639,Sharon,per
7641,Egypt,geo
7646,Indonesian,gpe
7656,Russia,gpe
7668,Biak,geo
7673,Papua,geo
7674,New,geo
7675,Guinea,geo
7678,Indonesian,gpe
7721,Earth,geo
7737,June,tim
7739,Indonesian,gpe
7740,President,per
7741,Susilo,per
7742,Bambang,per
7743,Yudhoyono,per
7748,Moscow,geo
7751,Algerian,gpe
7756,Monday,tim
7758,France,geo
7764,Paris,geo
7767,1995,tim
7771,Rachid,per
7772,Ramda,per
7781,Paris,geo
7789,Ramda,per
7805,France,geo
7818,Ramda,per
7821,London,geo
7846,Algerian,gpe
7850,Armed,org
7851,Islamic,org
7852,Group,org
7854,British,gpe
7857,Ramda,per
7859,1995,tim
7865,France,geo
7871,Monday,tim
7875,Ramda,per
7890,Paris,geo
7895,July,tim
7896,25,tim
7897,",",tim
7898,1995,tim
7911,United,org
7912,Nations,org
7914,Sudanese,gpe
7921,Central,gpe
7922,African,gpe
7923,Republic,gpe
7933,U.N.,org
7938,U.N.,org
7946,Wednesday,tim
7952,Sudanese,gpe
7957,CAR,gpe
7975,Thursday,tim
7985,Sudan,gpe
7987,April,tim
8008,Sudan,gpe
8017,Sudan,gpe
8022,U.N.,org
8034,Sudanese,gpe
8039,Democratic,gpe
8040,Republic,gpe
8041,of,gpe
8042,Congo,gpe
8051,Congolese,gpe
8055,Sudan,gpe
8059,Japan,geo
8069,Saturday,tim
8086,Yu,per
8087,Hagino,per
8105,Uji,geo
8165,Omar,per
8166,Bakri,per
8167,Mohammed,per
8175,Europe,geo
8181,French,gpe
8186,Monday,tim
8188,Mr.,per
8189,Bakri,per
8191,Muslims,org
8197,Europe,geo
8206,Downing,art
8207,Street,art
8212,Britain,gpe
8222,Beirut,geo
8224,Mr.,per
8225,Bakri,per
8229,British,gpe
8246,Mr.,per
8247,Bakri,per
8249,British,gpe
8253,July,tim
8254,7,tim
8257,London,geo
8271,Muslim,org
8282,France,art
8283,3,art
8286,Mr.,per
8287,Bakri,per
8298,London,geo
8304,al-Qaida,org
8306,Osama,per
8307,bin,per
8308,Laden,per
8314,Iran,gpe
8324,U.S.,gpe
8330,Washington,gpe
8340,Iran,gpe
8349,Joint,org
8350,Chiefs,org
8351,of,org
8352,Staff,org
8354,Mike,per
8355,Mullen,per
8357,Sunday,tim
8360,U.S.,gpe
8366,Iran,gpe
8369,Admiral,per
8370,Mullen,per
8381,Iran,gpe
8386,Brigadier,per
8387,General,per
8388,Ahmad,per
8389,Vahidi,per
8392,Tuesday,tim
8394,U.S.,gpe
8402,United,org
8403,Nations,org
8409,Tehran,gpe
8425,United,gpe
8426,States,gpe
8432,Iran,gpe
8448,Iran,gpe
8451,Admiral,per
8452,Mullen,per
8468,Georgia,gpe
8484,Iran,geo
8498,President,per
8499,Mikhail,per
8500,Saakashvili,per
8504,Friday,tim
8508,Iran,geo
8515,Georgia,geo
8517,Sunday,tim
8524,Monday,tim
8545,Russian,gpe
8549,Russian,gpe
8552,Georgian,gpe
8574,Sunday,tim
8576,Georgia,gpe
8581,Russian,gpe
8585,President,per
8586,Saakashvili,per
8591,Iran,geo
8601,Georgians,gpe
8626,Peru,gpe
8631,Alberto,per
8632,Fujimori,per
8653,April,tim
8663,Peruvian,gpe
8666,Tokyo,geo
8667,Wednesday,tim
8669,Mr.,per
8670,Fujimori,per
8680,Si,org
8681,Cumple,org
8711,Japanese,gpe
8715,Japan,geo
8717,2000,tim
8731,Peru,geo
8751,Mr.,per
8752,Fujimori,per
8754,Peru,geo
8759,1990,tim
8761,2000,tim
8773,Tokyo,gpe
8778,Lima,gpe
8784,British,gpe
8787,Sudan,geo
8815,Thursday,tim
8837,Sudanese,gpe
8866,Khartoum,geo
8878,Sudanese,gpe
8887,British,gpe
8891,British,gpe
8897,Khartoum,geo
8899,Kenyan,gpe
8913,Prophet,per
8914,Muhammad,per
8920,Muslim,org
8931,Kenyan,gpe
8934,Friday,tim
8942,Danish,gpe
8945,Nairobi,geo
8952,Danish,gpe
8958,Friday,tim
8963,Middle,geo
8964,East,geo
8969,India,geo
8971,Pakistan,geo
8973,Afghanistan,geo
8975,Bangladesh,geo
8977,Malaysia,geo
8980,Venezuela,geo
8983,France,geo
8986,Muslim,org
8990,French,gpe
8991,Council,org
8994,Muslim,org
8995,Faith,org
9004,French,gpe
9016,Prophet,per
9017,Muhammad,per
9026,Malaysian,gpe
9027,Prime,per
9028,Minister,per
9029,Abdullah,per
9030,Ahmad,per
9031,Badawi,per
9036,Friday,tim
9038,Muslim,org
9042,West,geo
9067,China,geo
9071,Wednesday,tim
9083,China,geo
9098,Shaanxi,geo
9101,Saturday,tim
9123,Xinhua,org
9144,Chinese,gpe
9176,India,org
9177,and,org
9178,Pakistan,org
9189,January,tim
9197,Kashmir,geo
9213,January,tim
9214,17,tim
9257,January,tim
